Comment,Designator,Footprint,LCSC
1k,"R64,R65,R66,R67",R_0402_1005Metric,C11702
AO3401A,"Q12,Q3,Q6,Q9",SOT-23,C15127
100n,"C1,C10,C11,C12,C13,C14,C15,C5,C6,C7,C8,C9",C_0402_1005Metric,C1525
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
1812_2A,"F1,F2,F3,F4",Fuse_1812_4532Metric,C20999
LED_RED,"D1,D12,D17,D4,D7",LED_0603_1608Metric,C2286
330/0.1%,"R36,R37,R46,R48",R_0402_1005Metric,C25104
5.1k,R3,R_0402_1005Metric,C25117
100k,"R29,R30,R31",R_0402_1005Metric,C25741
10k,"R1,R10,R11,R12,R13,R14,R19,R21,R22,R23,R24,R25,R26,R27,R28,R33,R39,R40,R41,R42,R43,R45,R49,R51,R52,R53,R54,R55,R57,R58,R60,R61,R63,R68,R69,R7,R70,R71,R72,R73,R74,R75,R8,R9",R_0402_1005Metric,C25744
3k,"R15,R16,R18,R32,R35,R38,R4,R44,R47,R5,R50,R56,R59,R62",R_0402_1005Metric,C25890
5.1k,R2,R_0402_1005Metric,C25905
D_TVS,"D11,D16,D21,D3",D_SMA,C3019524
RST,"SW1,SW3,SW4,SW5",SW_SPST_TL3342,C318884
AZ1117-3.3,U2,SOT-223-3_TabPin2,C6186
LED_BLUE,"D14,D19,D6,D9",LED_0603_1608Metric,C72041
LED_GREEN,"D13,D18,D5,D8",LED_0603_1608Metric,C72043
LMV321,"U4,U5,U6,U7",SOT-23-5,C7972
MMBT2222A,"Q1,Q10,Q11,Q13,Q14,Q15,Q16,Q17,Q18,Q2,Q4,Q5,Q7,Q8",SOT-23,C8512
50mR/1206,"R17,R20,R34,R6",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C912768
10u,"C16,C17,C2,C3,C4",C_0603_1608Metric,C96446
