Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,136.2,-48.0,90.0,top
C2,10u,C_0603_1608Metric,135.75,-51.6,-90.0,top
C3,10u,C_0603_1608Metric,124.5,-66.0,-90.0,top
C4,10u,C_0603_1608Metric,124.5,-62.9,90.0,top
C5,100n,C_0402_1005Metric,83.8375,-79.9125,-90.0,top
C6,100n,C_0402_1005Metric,104.1375,-79.9125,-90.0,top
C7,100n,C_0402_1005Metric,124.5,-79.8,-90.0,top
C8,100n,C_0402_1005Metric,146.18,-72.72,90.0,top
C9,100n,C_0402_1005Metric,144.8,-79.9,-90.0,top
C10,100n,C_0402_1005Metric,82.44,-80.75,180.0,top
C11,100n,C_0402_1005Metric,104.1,-68.5,180.0,top
C12,100n,C_0402_1005Metric,97.3,-68.5,180.0,top
C13,100n,C_0402_1005Metric,102.76,-80.75,180.0,top
C14,100n,C_0402_1005Metric,123.08,-80.75,180.0,top
C15,100n,C_0402_1005Metric,143.4,-80.75,180.0,top
C16,10u,C_0603_1608Metric,101.6,-67.7,0.0,top
C17,10u,C_0603_1608Metric,93.8,-67.7,0.0,top
D1,LED_RED,LED_0603_1608Metric,127.0,-68.1,0.0,top
D3,D_TVS,D_SMA,84.39,-87.95,0.0,top
D4,LED_RED,LED_0603_1608Metric,95.04,-77.3,0.0,top
D5,LED_GREEN,LED_0603_1608Metric,90.9025,-77.35,0.0,top
D6,LED_BLUE,LED_0603_1608Metric,86.7525,-77.3,0.0,top
D7,LED_RED,LED_0603_1608Metric,115.36,-77.3,0.0,top
D8,LED_GREEN,LED_0603_1608Metric,111.2225,-77.35,0.0,top
D9,LED_BLUE,LED_0603_1608Metric,107.0725,-77.3,0.0,top
D11,D_TVS,D_SMA,104.71,-87.95,0.0,top
D12,LED_RED,LED_0603_1608Metric,135.68,-77.3,0.0,top
D13,LED_GREEN,LED_0603_1608Metric,131.5425,-77.35,0.0,top
D14,LED_BLUE,LED_0603_1608Metric,127.3925,-77.3,0.0,top
D16,D_TVS,D_SMA,125.03,-87.95,0.0,top
D17,LED_RED,LED_0603_1608Metric,156.0,-77.3,0.0,top
D18,LED_GREEN,LED_0603_1608Metric,151.8625,-77.35,0.0,top
D19,LED_BLUE,LED_0603_1608Metric,147.7125,-77.3,0.0,top
D21,D_TVS,D_SMA,145.35,-87.95,0.0,top
F1,1812_2A,Fuse_1812_4532Metric,91.09,-88.1,180.0,top
F2,1812_2A,Fuse_1812_4532Metric,111.41,-88.1,180.0,top
